날짜,강수량,평균기온
2019-09-01,26.1,23.3
2019-09-02,25.7,24.1
2019-09-03,13.9,24.8
2019-09-04,43,24.7
2019-09-05,7,26.2
2019-09-06,68.8,26.8
2019-09-07,34.3,27.6
2019-09-08,19,24.5
2019-09-09,24.7,26.2
2019-09-10,0,27
2019-09-11,5,26
2019-09-12,0.6,24.1
2019-09-13,0,24
2019-09-14,0,24.3
2019-09-15,0,24.6
2019-09-16,0,24.6
2019-09-17,0,23.8
2019-09-18,0,23.3
2019-09-19,0,22.8
2019-09-20,0,22.5
2019-09-21,156,20.5
2019-09-22,126.2,20.4
2019-09-23,0,21
2019-09-24,0,20.4
2019-09-25,0,21.8
2019-09-26,1,23.8
2019-09-27,36,23.8
2019-09-28,0.7,24.1
2019-09-29,0,24.1
2019-09-30,22.6,23.6
